Episode Number,Title,Guest Name,Guest Title/Organization,Date Published,Duration,Description,Category/Topic,Has Transcript,Cover Image Filename,YouTube URL,Spotify URL,Apple Podcasts URL,Notes
30,The Security Career Reality Check with May Brooks-Kempler,May Brooks-Kempler,CEO & Founder/Helena,2024-05-07,1:00:00,"Let’s be honest: Not everyone’s cut out to be the boss, and those who are often don’t want the job. That’s especially true in security, where many people consider the role of Chief Information Security Officer (CISO) more of a sentence than a promotion. Executive, author, podcaster and recovering CISO May Brooks-Kempler gives us her take on whether sitting in the big chair is all it’s cracked up to be, as well as her unorthodox take on privacy that’ll get you thinking. ",Career,N,episode-030.jpg,https://youtu.be/7D1cfEYp0CQ,https://open.spotify.com/episode/4SrIBkur7TLgedinnpBhWG?si=d413051c5cb4464a,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000654809945,
29,Mad AIs and Poisoned LLMs: Fighting Digital Insanity with Michael Silva,Michael Silva,Founder & CEO/Emely AI,2024-04-16,48:35,We jump back into the world of generative AI with CEO and entrepreneur Michael Silva. Michael gives us his take on how a large language model (LLM) can steer you wrong and how to stay on a path to reality. ,AI,N,episode-029.jpg,https://youtu.be/QssUoSGq7Vs,https://open.spotify.com/episode/1zFfxlPAL7a3ssp4iAntUh?si=f8ca5bb02d2948d0,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000652617535,
28,Threat Intelligence with Ryan Westman,Ryan Westman,Director of Threat Intelligence/eSentire,2024-03-20,53:57,"What is threat intelligence, and what makes it so...threat-y? Ryan Westman of eSentire explains it to us, and also shows us a neat Mac trick that'll make you feel better about overpaying for a laptop. ",Threat Intel,N,episode-028.jpg,https://youtu.be/ZOUvNcOe3Ug,https://open.spotify.com/episode/04kCQL1XXezlGzlFxswIf8?si=4218c3fb87014d93,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000649866179,
27,Purple Teaming with Reut Weitzman,Reut Weitzman,CEO/CILYNX,2024-03-08,42:13,"Security consulting executive Reut Weitzman returns to the show to talk about one of our favorite topics, conducting a purple team exercise. Join us to learn what happens when attackers square off against defenders to test a security team’s capabilities. ",General,N,episode-027.jpg,https://youtu.be/ViXpfTN7yV8,https://open.spotify.com/episode/1PNhME9pkB9BsBxDwyxCnl?si=2e2876b5be8346ba,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000648490807,
26,AI and the Future of Security with John Dwyer,John Dwyer,Head of Research/IBM Security X-Force,2024-02-02,1:04:27,"Security incident response veteran John Dwyer joins us for a deep dive into how AI is poised to bend reality, and what that means for both attackers and defenders. We also cover how security incidents are now straddling the cyber and real worlds. Join us for some fresh thinking on where security is headed. ",AI,N,episode-026.jpg,https://youtu.be/Zwcu46n8fTk,https://open.spotify.com/episode/62TXDtVaDjOHtE8PacX5EL?si=4955d17164874812,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000643945396,
25,"Seven Trillion Reasons to Drink, from Eric O’Neill  ",Eric O’Neill,Founding Partner/The Georgetown Group LLC,2024-01-18,1:03:27,"Legendary spy hunter and security thought leader Eric O’Neill puts the cost of cybercrime worldwide at seven trillion dollars. Eric joins us to share his sobering thoughts about that and other topics including the Dark Web, ransomware and infrastructure vulnerability. Plus some bonus tips for driving in DC. ",General,N,episode-025.jpg,https://youtu.be/FeGrQ54AX_M,https://open.spotify.com/episode/06K1eyAGWKMuWoBWGSf3Xt?si=5b59d5fa60b9493d,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000642102750,
24,What Keeps Monte Fabiani Up at Night,Monte Fabiani,"VP, Cyber Security Operations Center/City National Bank",2024-01-02,1:11:15,"Security veteran Monte Fabiani tells us about the many SOCs (Security Operations Centers) he’s built and run, and how being in that end of the business can make it hard to sleep at night. We also get meta about how we started podcasting and brainstorm some future ideas. ",General,N,episode-024.png,https://youtu.be/GgKfwgEMx2k,https://open.spotify.com/episode/5LynvmXIezoE6g0wZ2jwry?si=54453e442f004fe7,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000640345832,
23,Holiday Security Tips and Negronis with Reut Weitzman,Reut Weitzman,CEO/CILYNX,2023-12-08,31:03,"The holidays are a time for joy. It’s also a time when thieves and scammers up their game in the cyber world, looking to put a damper on everyone’s good cheer. Security consultant Reut Weitzman joins us to share tips to keep the bad guys from spoiling your holidays. ",Educational,N,episode-023.jpg,https://youtu.be/vAqbH2qIWdk,https://open.spotify.com/episode/2eEgkgYofgidGy1gA0rDEC?si=8d1386044d534c4d,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000637944345,
22,Zero Trust and 80 Proof Bourbon with Adam Kohler,Adam Kohler,"Sr. Manager, Sales Engineering/Zscaler",2023-11-20,56:11,"Everyone in security says they’re committed to Zero Trust, even if they can’t agree on what it means. We take on the challenge of explaining the security industry’s favorite buzzword and the bizarre mythology around it, with the help of guest Adam Kohler and a few sips of bourbon. (Well, maybe not sips. And maybe more than a few.) ",General,N,episode-022.jpg,https://youtu.be/rcMFV2REdQM,https://open.spotify.com/episode/0HzwMC3pPyOEm8DfEeZBL7?si=4cdcea50f246406b,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000635437490,
21,"Medical Devices, Halloween and Whiskey with Gabrielle Hempel",Gabrielle Hempel,Solutions Engineer/Exabeam,2023-10-27,1:07:35,"It's our Halloween episode, and we're covering the scary topic of medical device security with guest Gabrielle Hempel, aka @gabsmashh. Gabrielle talks about her experiences with medical devices and her unconventional path into information security.   ",General,Y,episode-021.jpg,https://youtu.be/s3Ukx4fr1sg,https://open.spotify.com/episode/4QVogXYhdAcqlpIsvCauPC?si=463e08788e524d7b,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000632857008,
