Episode Number,Title,Guest Name,Guest Title/Organization,Date Published,Duration,Description,Category/Topic,Has Transcript,Cover Image Filename,YouTube URL,Spotify URL,Apple Podcasts URL,Notes
20,Mai Tais with Tom Cross,Tom Cross,Founder/FeedSeer,2023-10-12,57:00,"Tom Cross brings us more news from this year’s Black Hat conference, including details on the headline-grabbing satellite hacking challenge. It’s a fascinating look into a side of security even most cyber professionals don’t know well.",General,N,episode-020.png,https://youtu.be/lsEuQXu6Ypg,https://open.spotify.com/episode/7KbhhUNOYOGHFpjhSvxvns?si=ada1d9bfa01d4173,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000631088059,
19,Tequila with Rebecca Cahak,Rebecca Cahak,National Channel Manager/ExtraHop,2023-09-19,1:03:24,"Guest Rebecca Cahak helps Joe and Adam get in touch with the feminine side of the business and IT worlds. We talk about her advocacy for women’s careers and leadership for women, including through her organization FIERCE. We even toss in a discussion of work-life balance and a quick zoology lesson.",Career Bio,N,episode-019.jpg,https://youtu.be/zibouLz2u24,https://open.spotify.com/episode/17OwSTcquRgCdbbCIJO6KW?si=db1ede8d000a4f9e,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000628441790,
18,Free Choice with Jason Mar-Tang,Jason Mar-tang,Director of Sales Engineering/Pentera,2023-09-05,1:02:41,"This time around we welcome a native son of Staten Island, Jason Mar-Tang of Pentera. Jason tells us about the recent BlackHat conference, and we discuss the always tricky topic of how far to let a security incident progress before shutting it down. We also talk about attacking your own systems to improve your defenses, and the latest challenges in that long-established practice. ",General,N,episode-018.png,https://youtu.be/z5ScEx_WhMU,https://open.spotify.com/episode/6vRVsMZ6uFN6fe3iejtmrH?si=020ad646f6ee49ff,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000626814805,
17,Scotch (and Tea) with Chris Roberts,Chris Roberts,CISO/Boom Supersonic,2023-08-24,59:00,"Adam and Joe cover a lot of ground with the legendary Chris Roberts. We start off with reports of dolphins off Staten Island and end with how to wreck a classic Porsche, plus a little bit of security talk in between. It’s a fun discussion you won’t want to miss.",General,N,episode-017.png,https://youtu.be/nD8yRbexouU,https://open.spotify.com/episode/7pzk54TN557eTVSFW4jU46?si=32e2ecb873fd43b4,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000625562596,
16,French 75 with Jennifer Granick,Jennifer Granick,Surveillance & Cybersecurity Counsel/American Civil Liberties Union,2023-08-02,58:19,Attorney and Internet civil liberties pioneer Jennifer Granick introduces us to a new cocktail and talks about the latest in the battle to protect our rights in a world of ever-increasing government surveillance.,Legal,N,episode-016.jpg,https://youtu.be/ttXfdLl8LIA,https://open.spotify.com/episode/44Q27QkkYn8sOHYzuKVYPk?si=47a5a1acfbc64fd3,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000623177042,
15,Cyber Warrior,David Warshavski,VP Enterprise Security/Sygnia,2023-06-17,1:07:09,"Joe and Adam catch up with top tier security incident responder David Warshavski. David shares his latest insights on trends in what attackers are doing, cyber defense and the emerging security issues around AI.",Incident Response,N,episode-015.jpg,https://youtu.be/CpGlXwuE7b4,https://open.spotify.com/episode/4qLVcdrRwBrg1DahCwfkc9?si=0f74b1d3f31e44dd,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000621392556,
14,Security Campfire Stories,,,2023-06-22,1:04:01,"Joe and Adam gather round the virtual campfire to recount legends more chilling than any tired old monster story. Hear about the Stuxnet and Target hacks, and how these classic tales from the past are still relevant to how we detect and defend against intrusions today. ",Career Bio,N,episode-014.jpg,https://youtu.be/Ivn6BEr04TQ,https://open.spotify.com/episode/2XBJwTaWArlmSXMZV28mxa?si=496fcb915d0d4f22,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000617983279,
13,So You Want to Be a Security Entrepreneur,Idan Weiner,CEO/Illustria,2023-06-17,56:57,"For this episode we’re joined by Idan Wiener, co-founder and CEO of Illustria, an innovative startup in the software supply chain security space. Idan shares his thoughts and experiences from the startup world, and the things he wishes he’d known when he first set out on this journey.",General,N,episode-013.png,https://youtu.be/u7IES8neW4I,https://open.spotify.com/episode/4JESBrf4FiJaJiF0TkYek7?si=4e40e26320d846d7,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000617149312,
12,Security Culture Club,Letitia Espinosa,"Supervisor, Delivery Service Infrastructure & Continuity/Shearman & Sterling",2023-06-08,50:31,"Joe and Adam discuss how culture and the human element impact security, with infrastructure and disaster recovery expert Leticia Espinosa. We cover the harsh realities that go beyond technology, including what security people really think of that security awareness training your company makes you take every year.",General,N,episode-012.png,https://youtu.be/OFme7KNvEgo,https://open.spotify.com/episode/4Z6OePlTuvuJAQ5163ZjnZ?si=b24642e77a76497b,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000616147859,
11,How to Hire a Security Team,,,2023-06-01,54:35,"If you think getting your first job in security is hard, try hiring qualified security people. Joe and Adam open up their bag of tricks on hiring hard-to-find talent to build a top-notch security team.",Career,N,episode-011.png,https://youtu.be/YPA4oXwDz7A,https://open.spotify.com/episode/1cXl0YlAjJtJXQKl51qcm5?si=9f8cdb853325474f,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000615295856,
